"With Klarna, the consumer receives the products and pays within 14 days.", "Met Klarna ontvangt uw consument de producten eerst, en hoeven zij pas na 14 dagen te betalen."
"This payment method allows online consumers to receive their order first and pay after.", "Deze betaalmethode maakt het mogelijk voor online consumenten om pas te betalen wanneer de bestelling door hun is ontvangen."
"MultiSafepay&nbsp;<i>Smarter Online Payments</i>", "MultiSafepay&nbsp;<i>Slim online betalen</i>"
"Guests", "Gasten"
"MultiSafepay version: ", "MultiSafepay versie: "
"Supported Magento 2 versions: ", "Ondersteunde Magento 2 versies: "
"Documentation", "Documentatie"
"Read our documentation for more information about MultiSafepay and how to get started:", "Lees onze documentatie voor meer informatie over MultiSafepay en hoe je kan beginnen:"
"Manual", "Handleiding"
"Changelog", "Changelog"
"FAQ", "FAQ"
"For developers:", "Voor ontwikkelaars:"
"API Documentation", "API Documentatie"
"Account", "Account"
"To use this plugin you need a MultiSafepay account.", "Om deze plugin te gebruiken is een MultiSafepay account vereist."
"If you would like to have a clear overview of what MultiSafepay has to offer, feel free to create a ", "Als je meer te weten wilt komen over wat MultiSafepay te bieden heeft, maak dan een "
"test account", "test account"
"If you would like to set up a live account, please contact the MultiSafepay sales department:", "Als je een live account wilt opzetten, contacteer dan de MultiSafepay sales afdeling:"
"Telephone: ", "Telefoon: "
"E-mail: ", "E-mail: "
"Contact", "Contact"
"Need assistance? Feel free to contact our integration team:", "Hulp nodig? Neem dan gerust contact op met ons integration team:"
"The order has been canceled", "De bestelling is geannuleerd"
"Something went wrong with the order. Please try again later.", "Er ging iets mis met de bestelling. Probeer het later opnieuw."
"User redirected to payment page.", "De gebruiker is omgeleid naar de MultiSafepay betaalpagina."
"Date of Birth", "Geboortedatum"
"Gender", "Aanhef"
"Choose your gender...", "Maak een keuze"
"Place Order", "Plaats bestelling"
"Choose your bank...", "Kies uw bank..."
"Bank account number", "Bankrekening nummer"
"Account holder name", "Naam rekeninghouder"
"The user has been redirected to the following page: ", "De klant is omgeleid naar de volgende pagina: "
"Bancontact has grown to become the favourite payment method among Belgian online consumers.", "Bancontact is over de jaren heen de favoriete betaalmethode geworden onder de Belgische online shoppers."
"-- Please Select --", "-- Selecteer --"
"New Order Status", "Order status voor nieuwe bestellingen",
"Processing Order Status", "Order status voor bestellingen in verwerking"
"The default order status will be used if nothing is selected.", "De standaard order status wordt gebruikt als er niks is geselecteerd."
"China's leading third-party online payment solution.", "De digitale portemonnee waarmee u meer dan 450 miljoen Chinese klanten gemakkelijk kunt bedienen in hun eigen taal en valuta."
"The account ID can not be empty", "Account ID mag niet leeg zijn"
"The account holder name can not be empty", "Naam van rekeninghouder mag niet leeg zijn"
"The account holder city can not be empty", "Stad van rekeninghouder mag niet leeg zijn"
"The account holder country can not be empty", "Land van rekeninghouder mag niet leeg zijn"
"The account holder BIC can not be empty", "BIC van rekeninghouder mag niet leeg zijn"
"Request to Pay is a direct bank transfer, exclusive payment method by MultiSafepay and Deutsche Bank for instant banking. Based on the PSD2 Open banking API, it makes your bank transfers automated, faster and easier.", "Request to Pay | Direct Bank Transfer is een nieuwe, exclusieve betaalmethode van MultiSafepay en Deutsche Bank. Gebaseerd op PSD2 Open Banking API, deze manier van betalen is ideaal om uw banktransacties te automatiseren en gemakkelijker/sneller te maken."
"Bank transfer, also known as SEPA Credit Transfer, is a trusted international and domestic payment method for online customers.", "Bank transfer, ook wel bekend als SEPA Credit Transfer, is een vertrouwde, internationale en binnenlandse betaalmethode voor online consumenten."
"Santander Pay per Month", "Santander Betaal per Maand"
"Are you active in the Belgian market? Then, KBC/CBC is a useful addition to your webshop payment suite. With this payment method, you will be able to better target the Belgian market!", "Bent u actief op de Belgische markt? Dan is KBC/CBC een waardevolle toevoeging voor uw webshop. Met deze complete betaalsuite bent u direct klaar om de Belgische markt te veroveren met uw webshop!"
"Direct debit is the easiest way for trusted businesses to charge customers on a recurring basis.", "Direct Debit is de meest makkelijke manier voor vertrouwde webshops om online consumenten terugkerend in rekening te brengen."
"With E-Invoicing by MultiSafepay, you have complete control over the entire payment process and all communications with your customers.", "Met E-Invoicing heeft u volledige controle over het betaalproces richting uw debiteur. Beheer en verstuur geautomatiseerd uw betaallinks en herinneringen via email, sms of brief, volgens uw eigen tijdslijn."
"Are you active in Belgium with your webshop? Then ING Home'Pay is a valuable addition to your check-out.", "Bent u met uw webshop actief in België? Dan is ING Home'Pay een waardevolle toevoeging voor uw checkout."
"PayPal provides a flexible and secure e-wallet for payments using credit cards, bank accounts or PayPal account balance.", "PayPal biedt een flexibele en betrouwbare e-wallet voor betalingen middels credit kaart, bankrekeningen, of de PayPal balans. Wilt u wereldwijd online consumenten aantrekken? Dan is PayPal uw antwoord."
"Want to add a rapidly growing payment method to your webshop? Trustly is a fast, simple and secure way for online consumers to pay directly from their banking environment.", "Wilt u een snel groeiende betaalmethode toevoegen aan uw webshop? Trustly is een snelle, simpele en veilige betaalmethode waarmee uw online consumenten direct betalen vanuit hun eigen bankomgeving."
"MultiSafepay Transaction status: ", "MultiSafepay transactie status: "
"Uncleared Transaction. You can accept the transaction manually within MultiSafepay Control", "Uncleared transactie. De transactie kan handmatig goed gekeurd worden binnen MultiSafepay Control"
"The transaction can not be created, because the MultiSafepay API key is invalid", "De transactie kan niet aangemaakt worden, omdat de MultiSafepay API key onjuist is"
"The transaction can not be created, because there was a MultiSafepay error: ", "De transactie kan niet aangemaakt worden vanwege een MultiSafepay error: "
"Can Use Checkout", "Kan gebruikt worden in de checkout"
"Baby gift card", "Baby cadeaubon"
"The transaction was canceled or declined and the order was closed, please try again.", "De transactie was geannuleerd of afgewezen en de bestelling is gesloten, probeer het alstublieft opnieuw."
"Klarna - buy now, pay later", "Klarna - Betaal later in 14 dagen"
"Mr.","Dhr."
"Mrs.","Mevr."
"Miss","Mw"
" - Paid with ", " - Betaald met "
"- (Discount applied: ", "- (Korting toegepast: "
